dataset,task,n_samples,n_features,grouped,status,model,bal_acc,auc,brier,mcc,repeat,fold,mae,r2,spearman
rehab24_ex1,classification,88,20,True,active,rf,0.9166666666666669,0.8666666666666667,0.1921167126047086,0.8333333333333334,1,2,,,
rehab24_ex1,classification,88,20,True,active,rf,0.4136363636363636,0.5090909090909091,0.2803108114779721,-0.2196862127798681,1,3,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6318181818181818,0.7636363636363636,0.2234223887845385,0.3091410387156351,1,4,,,
rehab24_ex1,classification,88,20,True,active,rf,0.5,0.62,0.2388304458780815,0.0,1,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.0199999999999999,0.3399802666666666,-0.7071067811865475,2,1,,,
rehab24_ex1,classification,88,20,True,active,rf,0.5333333333333333,0.6666666666666666,0.2186516363636363,0.0690065559342354,2,2,,,
rehab24_ex1,classification,88,20,True,active,rf,0.8590909090909091,0.8545454545454545,0.1901631716347148,0.7181818181818181,2,3,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6318181818181818,0.7636363636363636,0.2234223887845385,0.3091410387156351,2,4,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6,0.62,0.224550312489195,0.2041241452319315,2,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.0199999999999999,0.3399802666666666,-0.7071067811865475,3,1,,,
rehab24_ex1,classification,88,20,True,active,rf,0.8166666666666667,0.8333333333333334,0.1968648043558029,0.6333333333333333,3,2,,,
rehab24_ex1,classification,88,20,True,active,rf,0.4772727272727273,0.5363636363636364,0.2684728139626955,-0.0454545454545454,3,3,,,
rehab24_ex1,classification,88,20,True,active,rf,0.5318181818181817,0.6090909090909091,0.2338125714285714,0.0674199862463242,3,4,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6499999999999999,0.5999999999999999,0.2257139531882086,0.3015113445777636,3,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.0199999999999999,0.3399802666666666,-0.7071067811865475,4,1,,,
rehab24_ex1,classification,88,20,True,active,rf,0.4727272727272727,0.4727272727272727,0.2666297762526466,-0.055048188256318,4,2,,,
rehab24_ex1,classification,88,20,True,active,rf,0.4136363636363636,0.5090909090909091,0.2803108114779721,-0.2196862127798681,4,3,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6499999999999999,0.5999999999999999,0.2257139531882086,0.3015113445777636,4,4,,,
rehab24_ex1,classification,88,20,True,active,rf,0.8166666666666667,0.8666666666666667,0.205700411724171,0.6333333333333333,4,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.0199999999999999,0.3399802666666666,-0.7071067811865475,5,1,,,
rehab24_ex1,classification,88,20,True,active,rf,0.4333333333333333,0.7,0.2271323933447912,-0.1490711984999859,5,2,,,
rehab24_ex1,classification,88,20,True,active,rf,0.7227272727272727,0.8090909090909092,0.2092026666666667,0.4719399037242694,5,3,,,
rehab24_ex1,classification,88,20,True,active,rf,0.6318181818181818,0.7636363636363636,0.2234223887845385,0.3091410387156351,5,4,,,
rehab24_ex1,classification,88,20,True,active,rf,0.85,0.99,0.1626810921661657,0.7337993857053428,5,5,,,
rehab24_ex1,classification,88,20,True,active,rf,0.2,0.12,0.310811898466616,-0.7071067811865475,6,1,,,
